fid,DN,area,fid_2,SIG_CD,KOR_PAR_NM,PARK_SN,면적(m^2,x,y,ADM_DR_NM
66591,"9","200",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66767,"2","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66768,"10","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66769,"11","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66959,"1","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66960,"9","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66961,"12","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
67153,"5","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
67154,"10","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
67339,"2","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
67340,"5","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
67510,"2","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
67679,"1","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
67920,"1","97465",12760,"11500",능말공원,46.000000000000000,"1520",126.810607385300003,37.577972405899999,방화3동
67920,"1","97465",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
67920,"1","97465",12717,"11500",메아리공원,9.000000000000000,"1510",126.814378767600004,37.578610499000000,방화3동
68747,"0","109761",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
68747,"0","109761",12719,"11500",,11.000000000000000,"1499",126.818937358499994,37.575110196399997,방화3동
71126,"2","17194",12720,"11500",개나리공원,12.000000000000000,"250",126.812260552900000,37.573127999400000,방화1동
71164,"5","100",12763,"11500",샛별공원,49.000000000000000,"279",126.809497230800005,37.572712368600001,방화2동
71165,"4","100",12763,"11500",샛별공원,49.000000000000000,"279",126.809497230800005,37.572712368600001,방화2동
71167,"2","26890",12719,"11500",,11.000000000000000,"1499",126.818937358499994,37.575110196399997,방화3동
