건물용도코드,읍면동코드,지상층수,고시일자,도로구간시군구코드,도로명코드,시군구코드,지하층수
2003,102,5,2018-09-12,11500,4145298,11500,0
10202,102,12,2018-09-12,11500,4145187,11500,1
10299,105,12,2018-02-28,11500,2005007,11500,4
4999,103,4,2017-12-06,11500,4145022,11500,0
1002,103,4,2017-12-13,11500,4145253,11500,1
2003,103,13,2022-11-09,11500,4145010,11500,3
1002,103,3,2017-05-31,11500,4145497,11500,1
2003,103,6,2017-03-02,11500,4145529,11500,0
10299,105,12,2017-03-02,11500,3155059,11500,4
10202,102,14,2023-01-11,11500,4145550,11500,1
2003,103,6,2017-07-19,11500,4145038,11500,0
2003,108,6,2017-07-19,11500,4145350,11500,0
90001,103,0,2019-07-17,11500,3005069,11500,0
90001,107,0,2019-07-17,11500,2000003,11500,0
90001,107,0,2019-07-17,11500,2000003,11500,0
90002,102,0,2019-07-17,11500,3115008,11500,0
90002,102,0,2019-07-17,11500,3005064,11500,0
90002,103,0,2019-07-17,11500,4145190,11500,0
90002,103,0,2019-07-17,11500,3005069,11500,0
90002,103,0,2019-07-17,11500,3005069,11500,0
2003,103,4,2011-07-29,11500,4145008,11500,1
1003,103,3,2020-05-13,11500,4145294,11500,0
1003,109,4,2020-05-13,11500,4145238,11500,0
1003,103,3,2020-05-13,11500,4145002,11500,1
2003,103,6,2019-09-25,11500,4145008,11500,1
2003,103,6,2019-09-25,11500,4145011,11500,1
10202,103,19,2019-09-25,11500,3005069,11500,0
1003,102,4,2019-08-21,11500,4145298,11500,0
2003,102,6,2020-06-24,11500,4145549,11500,0
1002,103,3,2019-08-21,11500,4145021,11500,1
2003,108,6,2019-08-21,11500,4145171,11500,0
2003,103,6,2017-03-02,11500,4145151,11500,0
2001,103,11,2020-12-09,11500,3115001,11500,2
2003,103,6,2020-12-09,11500,4145075,11500,0
4999,109,2,2017-07-12,11500,3115005,11500,1
2003,103,6,2021-10-20,11500,4145037,11500,0
2007,102,5,2021-10-20,11500,4145310,11500,1
2003,103,6,2017-03-02,11500,4145500,11500,0
2003,103,6,2017-03-02,11500,4145500,11500,0
6204,109,9,2011-11-23,11500,4145490,11500,5
1003,109,6,2017-03-08,11500,4145330,11500,0
10202,105,9,2019-09-25,11500,3155049,11500,4
1001,105,4,2018-09-19,11500,3155051,11500,0
2003,106,6,2019-08-07,11500,3115001,11500,0
1001,107,2,2019-08-07,11500,2000003,11500,0
8102,105,4,2019-08-07,11500,3155048,11500,1
2003,108,4,2019-09-25,11500,4145378,11500,0
2003,109,6,2017-03-08,11500,4145481,11500,0
2003,103,6,2017-03-08,11500,4145448,11500,0
