ARS-ID,정류소명,x,y
"16391",김포공항국제선,126.8013423185,37.5651725558
"16392",김포공항국제선,126.8010820104,37.5649592045
"16393",발산역7번출구,126.8378898672,37.5578714278
"16394",신방화역5번출구,126.8167099398,37.5674643759
"16395",마곡엠밸리6.7단지.마곡중학교,126.8219241388,37.5671764952
"16396",마곡나루역,126.8259403289,37.5668842307
"16397",마곡역,126.8271495821,37.5616053454
"16398",마곡역,126.8272359727,37.5615263845
"16399",마곡나루역1번출구.웰튼병원,126.8261995611,37.5669855824
"16400",마곡동로사거리,126.8299891796,37.5594720350
"16401",마곡엠밸리11.12단지,126.8214633365,37.5601845702
"16402",마곡13단지힐스테이트후문,126.8185612466,37.5565828040
"16403",공진초등학교,126.8216364382,37.5583928624
"16407",송정역,126.8122165775,37.5612684000
"16408",외발산동기점,126.8214964458,37.5452472613
"16410",한국공항공사,126.7986847129,37.5625331032
"16411",한국공항공사,126.7986490000,37.5625330000
"16412",이마트(가상),126.7984620000,37.5626740000
"16413",개화동상사마을종점,126.8017961457,37.5887025627
"16416",마곡수명산파크7단지,126.8230846772,37.5493491633
"16417",마곡수명산파크5단지6단지,126.8253111754,37.5515318119
"16418",마곡수명산파크2단지,126.8263353612,37.5549146299
"16419",마곡수명산파크2단지,126.8261836731,37.5546953583
"16420",마곡수명산파크3단지4단지,126.8252596407,37.5516687036
"16421",마곡수명산파크7단지,126.8227103526,37.5492327910
"16422",마곡역6번출구,126.8267578275,37.5595020162
"16423",마곡역,126.8254030000,37.5600180000
"16424",화곡2동주민센터,126.8552255484,37.5313619972
"16425",화곡2동주민센터,126.8547482072,37.5312394484
"16427",마곡엠밸리14단지아파트,126.8265216238,37.5574397063
"16428",마곡엠밸리15단지아파트,126.8266430864,37.5574466147
"16429",발산역9번출구,126.8366967210,37.5588944573
"16430",공항동주민센터,126.8106255262,37.5589282299
"16431",신방화사거리,126.8168526508,37.5728590627
"16432",신방화사거리,126.8166375674,37.5728601789
"16433",방화2동우촌연립,126.8116811028,37.5700234391
"16434",개화역광역환승센터,126.7984749196,37.5786642162
"16435",개화역광역환승센터,126.7979144555,37.5783721759
"16436",방화2동청성아파트,126.8118413828,37.5665626083
"16450",핑크힐병원,126.8755944161,37.5494009787
"16451",롯데몰.김포공항역,126.8031029793,37.5622467771
"16453",송정중학교정문,126.8163979286,37.5545312361
"16462",염창동주민센터,126.8710981793,37.5537435963
"16463",대통마트,126.8560357951,37.5350763262
"16464",강원슈퍼,126.8569194907,37.5356171468
"16465",화곡보람3차아파트,126.8582575659,37.5364713561
"16466",에이엔케슬,126.8591975383,37.5371542800
"16467",한광고,126.8585349451,37.5378264686
"16468",신정여상,126.8575264038,37.5372985371
"16469",명지해드는터아파트,126.8563680193,37.5365565809
"16470",동우아트빌,126.8559141102,37.5364910826
"16471",미주아파트,126.8549851503,37.5374434820
"16472",방송인아파트,126.8540696162,37.5370100262
"16473",곰달래약국,126.8580346098,37.5315192292
"16474",중앙하이츠빌라,126.8581762798,37.5307625821
"16475",곰달래아파트,126.8565082009,37.5296093306
"16476",삼성아파트,126.8541114972,37.5293006040
"16477",은창아파트,126.8518661662,37.5290193725
"16478",화곡전화국,126.8479529724,37.5294474068
"16479",까치산역4번출구,126.8461015292,37.5326149369
"16480",까치시장,126.8462731809,37.5337511430
"16481",화곡탑건진선미아파트,126.8468441517,37.5362569706
"16482",개나리슈퍼,126.8479616242,37.5366464490
"16483",빨래세탁소,126.8491793133,37.5370530205
"16484",공작세탁소,126.8545557499,37.5364959537
"16485",주영렉스빌,126.8550571477,37.5359903148
"16486",대통마트,126.8559552557,37.5348851187
"16487",국민약국,126.8578694267,37.5317564379
"16488",주영렉스빌,126.8550225030,37.5358544941
"16489",약수터,126.8516032670,37.5387779120
"16490",신광명마을,126.8240688466,37.5471069801
"16491",수명중고등학교,126.8241072611,37.5493106868
"16492",마곡.수명산파크4단지,126.8244352418,37.5506480922
"16493",방화중학교,126.8063961285,37.5642339176
"16494",한마음아파트,126.8679286347,37.5551482824
"16495",우성아파트앞,126.8708809995,37.5554953639
"16496",우성아파트,126.8709516991,37.5555640520
"16497",봉제산정상,126.8517395568,37.5366676926
"16498",생태공원,126.8184909971,37.5834038379
"16499",NC백화점앞,126.8400859231,37.5594448491
"16500",염창역1번출구.강서평생학습관,126.8737340006,37.5472979883
"16501",명지해드는터아파트,126.8563367994,37.5366801432
"16502",하이웨이주유소,126.8543132240,37.5544022778
"16503",서광아파트,126.8193990393,37.5788717784
"16504",마곡엠밸리7단지앞,126.8245059927,37.5655177522
"16505",대림아파트,126.8750952782,37.5483789122
"16506",하나마트,126.8532099938,37.5524467163
"16507",정곡초교,126.8186147442,37.5759927229
"16508",등명중학교,126.8429711835,37.5591549020
"16509",동아3차아파트,126.8760092215,37.5494219179
"16510",미주아파트,126.8550966270,37.5375016611
"16511",백연공원,126.8520856075,37.5506292899
"16512",방화4단지,126.8134260621,37.5769209109
"16513",등촌3동성당사거리,126.8458705238,37.5588646293
"16514",새마을금고,126.8732610433,37.5502185052
"16515",방송인아파트,126.8539316260,37.5369805368
"16516",강서대학교,126.8512354435,37.5494712906
"16517",방화3동주민센터,126.8136003115,37.5786297429
"16518",등촌6단지,126.8476512295,37.5595811304
